importsequencenumber,icsba_isinterdivisionapplicable,icsba_requestoption,icsba_requestoptiontitle,icsba_requestoptionscreenname,icsba_requestoptionslkpid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,icsba_employeedivisiontypefk,owningbusinessunit,icsba_requestoptiontypefk
,FALSE,Div B Corporate - Promotion,Promotion,,8033a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291493,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,d3a27365-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Other/Unsure - Promotion,Promotion,,7e33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291474,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,d3a27365-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div B Operational - Promotion,Promotion,,a7433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24291471,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,d3a27365-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div A Corporate - Promotion,Promotion,,a6433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24291469,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,d3a27365-96a8-ef11-b8e8-000d3ae0cb61
,TRUE,Div A Corporate - Permanent Transfer,Permanent Transfer,,ba754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291467,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
,FALSE,CFA Secondment - Permanent Transfer,Permanent Transfer,,af754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291465,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Other/Unsure - Permanent Transfer,Permanent Transfer,,ae754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291463,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div A Operational - Permanent Transfer,Permanent Transfer,,ad754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291461,007bf3ba-55da-404e-8d2f-b823f0bfdc81,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div B Corporate - Permanent Transfer,Permanent Transfer,,7933a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291460,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div B Operational -Permanent Transfer,Permanent Transfer,,7733a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291458,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,f6ea224c-96a8-ef11-b8e9-000d3ae0985b
